Date, Daily Fees ,average gas price,Date(UTC),Value (Wei),gas used,Date(UTC),Value,eth price,Date(UTC),Value,,,,,,,,
7/19/23," $108,573.05 ",,8/10/17,24244829373,,8/10/17,15013390317,,8/10/17,298.28,,,,,,,,
7/18/23," $131,529.07 ",,8/11/17,25055821756,,8/11/17,16970909183,,8/11/17,309.32,,,,,,,,
7/17/23," $128,856.86 ",,8/12/17,24802395477,,8/12/17,16866888987,,8/12/17,308.02,,,,,,,,
7/16/23," $107,361.33 ",,8/13/17,22053673388,,8/13/17,16412188461,,8/13/17,296.62,,,,,,,,
7/15/23," $128,538.37 ",,8/14/17,22124106465,,8/14/17,19420639505,,8/14/17,299.16,,,,,,,,
7/14/23," $139,608.99 ",,8/15/17,21732658516,,8/15/17,22420514846,,8/15/17,286.52,,,,,,,,
7/13/23," $243,288.51 ",,8/16/17,34716303601,,8/16/17,23252716251,,8/16/17,301.38,,,,,,,,
7/12/23," $192,573.46 ",,8/17/17,29045025650,,8/17/17,22078488852,,8/17/17,300.3,,,,,,,,
7/11/23," $283,623.97 ",,8/18/17,44653492844,,8/18/17,21706184631,,8/18/17,292.62,,,,,,,,
7/10/23," $145,610.44 ",,8/19/17,25853813413,,8/19/17,19220763789,,8/19/17,293.02,,,,,,,,
7/9/23," $108,898.21 ",,8/20/17,22972240493,,8/20/17,15896801546,,8/20/17,298.2,,,,,,,,
7/8/23," $129,157.05 ",,8/21/17,23061643547,,8/21/17,17401005729,,8/21/17,321.85,,,,,,,,
7/7/23," $126,152.67 ",,8/22/17,23423033219,,8/22/17,17186834718,,8/22/17,313.37,,,,,,,,
7/6/23," $127,065.15 ",,8/23/17,23256200293,,8/23/17,17213958732,,8/23/17,317.4,,,,,,,,
7/5/23," $124,308.91 ",,8/24/17,24488987225,,8/24/17,15605369701,,8/24/17,325.28,,,,,,,,
7/4/23," $117,863.73 ",,8/25/17,25311366617,,8/25/17,14108202514,,8/25/17,330.06,,,,,,,,
7/3/23," $106,440.28 ",,8/26/17,22816054496,,8/26/17,14015346534,,8/26/17,332.86,,,,,,,,
7/2/23," $115,607.03 ",,8/27/17,22152769744,,8/27/17,15001225365,,8/27/17,347.88,,,,,,,,
7/1/23," $131,953.31 ",,8/28/17,23023333378,,8/28/17,16485319187,,8/28/17,347.66,,,,,,,,
6/30/23," $195,716.12 ",,8/29/17,26062902403,,8/29/17,20167518335,,8/29/17,372.35,,,,,,,,
6/29/23," $182,381.38 ",,8/30/17,25922353625,,8/30/17,18328764907,,8/30/17,383.86,,,,,,,,
6/28/23," $267,429.66 ",,8/31/17,36202779201,,8/31/17,19022461476,,8/31/17,388.33,,,,,,,,
6/27/23," $216,392.73 ",,9/1/17,29038234385,,9/1/17,19038356374,,9/1/17,391.42,,,,,,,,
6/26/23," $350,981.09 ",,9/2/17,62682734227,,9/2/17,15951133510,,9/2/17,351.03,,,,,,,,
6/25/23," $122,322.27 ",,9/3/17,24625907338,,9/3/17,14093399641,,9/3/17,352.45,,,,,,,,
6/24/23," $157,580.89 ",,9/4/17,27792328086,,9/4/17,18669548895,,9/4/17,303.7,,,,,,,,
6/23/23," $197,281.67 ",,9/5/17,30139309787,,9/5/17,20587720062,,9/5/17,317.94,,,,,,,,
6/22/23," $270,449.71 ",,9/6/17,36519706124,,9/6/17,21850533489,,9/6/17,338.92,,,,,,,,
6/21/23," $265,006.67 ",,9/7/17,36147491376,,9/7/17,21860214702,,9/7/17,335.37,,,,,,,,
6/20/23," $273,292.95 ",,9/8/17,42275877643,,9/8/17,21076267456,,9/8/17,306.72,,,,,,,,
6/19/23," $163,672.24 ",,9/9/17,29941043195,,9/9/17,17994285809,,9/9/17,303.79,,,,,,,,
6/18/23," $171,558.86 ",,9/10/17,36135150446,,9/10/17,15867451570,,9/10/17,299.21,,,,,,,,
6/17/23," $138,809.72 ",,9/11/17,26441744516,,9/11/17,17619207471,,9/11/17,297.95,,,,,,,,
6/16/23," $159,261.79 ",,9/12/17,28430040166,,9/12/17,19047548800,,9/12/17,294.1,,,,,,,,
6/15/23," $135,062.57 ",,9/13/17,27123610125,,9/13/17,18052205923,,9/13/17,275.84,,,,,,,,
6/14/23," $116,050.85 ",,9/14/17,28372005082,,9/14/17,18330776595,,9/14/17,223.14,,,,,,,,
6/13/23," $190,584.04 ",,9/15/17,35527257414,,9/15/17,20666662769,,9/15/17,259.57,,,,,,,,
6/12/23," $183,326.38 ",,9/16/17,35281116400,,9/16/17,20417940497,,9/16/17,254.49,,,,,,,,
6/11/23," $139,716.94 ",,9/17/17,32847109838,,9/17/17,16461120596,,9/17/17,258.4,,,,,,,,
6/10/23," $147,962.61 ",,9/18/17,27527967857,,9/18/17,18065378622,,9/18/17,297.53,,,,,,,,
6/9/23," $144,155.71 ",,9/19/17,28240983765,,9/19/17,18037053711,,9/19/17,283,,,,,,,,
6/8/23," $163,878.07 ",,9/20/17,30102925181,,9/20/17,19198494584,,9/20/17,283.56,,,,,,,,
6/7/23," $108,547.50 ",,9/21/17,23983898010,,9/21/17,17557702349,,9/21/17,257.77,,,,,,,,
6/6/23," $96,083.06 ",,9/22/17,24379043547,,9/22/17,14989028970,,9/22/17,262.94,,,,,,,,
6/5/23," $95,393.68 ",,9/23/17,23562292733,,9/23/17,14148926235,,9/23/17,286.14,,,,,,,,
6/4/23," $120,046.63 ",,9/24/17,28226701571,,9/24/17,15049348283,,9/24/17,282.6,,,,,,,,
6/3/23," $116,310.00 ",,9/25/17,25547420148,,9/25/17,15438672580,,9/25/17,294.89,,,,,,,,
6/2/23," $122,405.47 ",,9/26/17,24571949910,,9/26/17,17258565559,,9/26/17,288.64,,,,,,,,
6/1/23," $132,757.87 ",,9/27/17,26548967736,,9/27/17,16132176667,,9/27/17,309.97,,,,,,,,
5/31/23," $122,857.05 ",,9/28/17,25409632808,,9/28/17,15969409283,,9/28/17,302.77,,,,,,,,
5/30/23," $107,877.07 ",,9/29/17,23184436268,,9/29/17,15903325578,,9/29/17,292.58,,,,,,,,
5/29/23," $125,018.65 ",,9/30/17,26231412090,,9/30/17,15741288840,,9/30/17,302.77,,,,,,,,
5/28/23," $112,575.42 ",,10/1/17,24190581701,,10/1/17,15310702625,,10/1/17,303.95,,,,,,,,
5/27/23," $116,568.05 ",,10/2/17,25376879520,,10/2/17,15476144246,,10/2/17,296.81,,,,,,,,
5/26/23," $115,028.88 ",,10/3/17,23882103385,,10/3/17,16505707600,,10/3/17,291.81,,,,,,,,
5/25/23," $113,924.16 ",,10/4/17,23689836678,,10/4/17,16487207597,,10/4/17,291.68,,,,,,,,
5/24/23," $113,051.79 ",,10/5/17,24302843665,,10/5/17,15769323939,,10/5/17,294.99,,,,,,,,
5/23/23," $128,967.10 ",,10/6/17,25759310387,,10/6/17,16237865284,,10/6/17,308.33,,,,,,,,
5/22/23," $105,451.23 ",,10/7/17,22705744740,,10/7/17,14920815678,,10/7/17,311.26,,,,,,,,
5/21/23," $117,003.63 ",,10/8/17,24091593642,,10/8/17,15692320454,,10/8/17,309.49,,,,,,,,
5/20/23," $119,113.79 ",,10/9/17,24174030452,,10/9/17,16593181455,,10/9/17,296.95,,,,,,,,
5/19/23," $121,004.46 ",,10/10/17,25058292801,,10/10/17,16179450785,,10/10/17,298.46,,,,,,,,
5/18/23," $146,643.72 ",,10/11/17,30039329444,,10/11/17,16118748639,,10/11/17,302.86,,,,,,,,
5/17/23," $125,232.29 ",,10/12/17,24512657109,,10/12/17,16867122755,,10/12/17,302.89,,,,,,,,
5/16/23," $150,057.29 ",,10/13/17,26489325565,,10/13/17,16818042076,,10/13/17,336.83,,,,,,,,
5/15/23," $137,694.99 ",,10/14/17,24196653845,,10/14/17,16796028877,,10/14/17,338.81,,,,,,,,
5/14/23," $133,272.07 ",,10/15/17,23514174126,,10/15/17,16839186003,,10/15/17,336.58,,,,,,,,
5/13/23," $122,205.14 ",,10/16/17,16678649826,,10/16/17,21922149733,,10/16/17,334.23,,,,,,,,
5/12/23," $104,237.20 ",,10/17/17,14194850634,,10/17/17,23228035407,,10/17/17,316.14,,,,,,,,
5/11/23," $94,874.00 ",,10/18/17,14081137033,,10/18/17,21489016601,,10/18/17,313.54,,,,,,,,
5/10/23," $90,272.19 ",,10/19/17,12235259269,,10/19/17,24000639917,,10/19/17,307.41,,,,,,,,
5/9/23," $117,726.97 ",,10/20/17,14610349751,,10/20/17,26586311517,,10/20/17,303.08,,,,,,,,
5/8/23," $65,657.92 ",,10/21/17,12128683877,,10/21/17,18071912431,,10/21/17,299.55,,,,,,,,
5/7/23," $55,249.16 ",,10/22/17,10751750663,,10/22/17,17476517075,,10/22/17,294.03,,,,,,,,
5/6/23," $86,925.06 ",,10/23/17,13780011469,,10/23/17,22112574421,,10/23/17,285.27,,,,,,,,
5/5/23," $113,542.83 ",,10/24/17,14415708346,,10/24/17,26564339882,,10/24/17,296.5,,,,,,,,
5/4/23," $99,179.71 ",,10/25/17,12720316553,,10/25/17,26309948399,,10/25/17,296.35,,,,,,,,
5/3/23," $94,414.04 ",,10/26/17,12385996259,,10/26/17,25792258901,,10/26/17,295.54,,,,,,,,
5/2/23," $90,554.53 ",,10/27/17,11545392383,,10/27/17,26465608457,,10/27/17,296.36,,,,,,,,
5/1/23," $74,602.94 ",,10/28/17,10491940195,,10/28/17,24238961845,,10/28/17,293.35,,,,,,,,
4/30/23," $78,037.08 ",,10/29/17,10371979124,,10/29/17,24746206086,,10/29/17,304.04,,,,,,,,
4/29/23," $96,417.61 ",,10/30/17,11808258897,,10/30/17,26614306113,,10/30/17,306.8,,,,,,,,
4/28/23," $122,789.09 ",,10/31/17,13692446133,,10/31/17,29533828429,,10/31/17,303.64,,,,,,,,
4/27/23," $127,564.09 ",,11/1/17,14979336359,,11/1/17,29424380755,,11/1/17,289.42,,,,,,,,
4/26/23," $134,768.10 ",,11/2/17,15919836477,,11/2/17,29711567693,,11/2/17,284.92,,,,,,,,
4/25/23," $106,935.25 ",,11/3/17,12781813101,,11/3/17,27474314374,,11/3/17,304.51,,,,,,,,
4/24/23," $74,557.54 ",,11/4/17,11624799927,,11/4/17,21376023145,,11/4/17,300.04,,,,,,,,
4/23/23," $59,526.45 ",,11/5/17,10703460687,,11/5/17,18773996019,,11/5/17,296.23,,,,,,,,
4/22/23," $65,511.63 ",,11/6/17,10433598351,,11/6/17,21153932849,,11/6/17,296.82,,,,,,,,
4/21/23," $89,373.79 ",,11/7/17,13393206633,,11/7/17,22865503353,,11/7/17,291.84,,,,,,,,
4/20/23," $116,432.23 ",,11/8/17,16154783877,,11/8/17,23449784813,,11/8/17,307.35,,,,,,,,
4/19/23," $126,140.67 ",,11/9/17,15785570759,,11/9/17,24998074107,,11/9/17,319.66,,,,,,,,
4/18/23," $105,831.72 ",,11/10/17,15036090671,,11/10/17,23709873840,,11/10/17,296.86,,,,,,,,
4/17/23," $109,702.77 ",,11/11/17,15394750336,,11/11/17,22677610504,,11/11/17,314.23,,,,,,,,
4/16/23," $126,362.55 ",,11/12/17,18011273725,,11/12/17,22925780729,,11/12/17,306.02,,,,,,,,
4/15/23," $128,130.34 ",,11/13/17,16603636136,,11/13/17,24529577479,,11/13/17,314.6,,,,,,,,
4/14/23," $145,076.73 ",,11/14/17,16704405736,,11/14/17,25946874938,,11/14/17,334.72,,,,,,,,
4/13/23," $157,414.61 ",,11/15/17,17408995522,,11/15/17,27301153015,,11/15/17,331.2,,,,,,,,
4/12/23," $134,909.36 ",,11/16/17,16023943398,,11/16/17,25488120832,,11/16/17,330.32,,,,,,,,
4/11/23," $145,765.25 ",,11/17/17,16406020669,,11/17/17,26784225318,,11/17/17,331.72,,,,,,,,
4/10/23," $113,438.54 ",,11/18/17,13339014477,,11/18/17,24532718494,,11/18/17,346.65,,,,,,,,
4/9/23," $120,969.50 ",,11/19/17,14229082585,,11/19/17,23975090718,,11/19/17,354.6,,,,,,,,
4/8/23," $153,986.70 ",,11/20/17,16089304528,,11/20/17,26027982305,,11/20/17,367.71,,,,,,,,
4/7/23," $163,902.67 ",,11/21/17,17548793491,,11/21/17,25906539931,,11/21/17,360.52,,,,,,,,
4/6/23," $163,191.72 ",,11/22/17,16469836119,,11/22/17,26017543726,,11/22/17,380.84,,,,,,,,
4/5/23," $173,766.17 ",,11/23/17,15992127664,,11/23/17,26725364867,,11/23/17,406.57,,,,,,,,
4/4/23," $191,366.38 ",,11/24/17,15456892039,,11/24/17,26317732352,,11/24/17,470.43,,,,,,,,
4/3/23," $164,077.91 ",,11/25/17,12891179323,,11/25/17,27394849746,,11/25/17,464.61,,,,,,,,
4/2/23," $194,726.81 ",,11/26/17,14953923259,,11/26/17,27674135132,,11/26/17,470.54,,,,,,,,
4/1/23," $225,945.71 ",,11/27/17,15537337870,,11/27/17,30599511959,,11/27/17,475.24,,,,,,,,
3/31/23," $236,967.86 ",,11/28/17,16779210323,,11/28/17,30288687055,,11/28/17,466.27,,,,,,,,
3/30/23," $220,803.47 ",,11/29/17,17499867713,,11/29/17,29519996063,,11/29/17,427.42,,,,,,,,
3/29/23," $205,388.03 ",,11/30/17,16354038320,,11/30/17,28880894729,,11/30/17,434.85,,,,,,,,
3/28/23," $213,818.53 ",,12/1/17,14561757161,,12/1/17,31811531693,,12/1/17,461.58,,,,,,,,
3/27/23," $182,175.14 ",,12/2/17,13179215357,,12/2/17,30183667434,,12/2/17,457.96,,,,,,,,
3/26/23," $214,883.24 ",,12/3/17,14068434201,,12/3/17,33003047721,,12/3/17,462.81,,,,,,,,
3/25/23," $357,761.11 ",,12/4/17,21962218932,,12/4/17,34887121288,,12/4/17,466.93,,,,,,,,
3/24/23," $491,838.46 ",,12/5/17,30921177676,,12/5/17,35038771633,,12/5/17,453.96,,,,,,,,
3/23/23," $602,705.54 ",,12/6/17,42116421717,,12/6/17,33872524569,,12/6/17,422.48,,,,,,,,
3/22/23," $932,767.34 ",,12/7/17,59656597683,,12/7/17,37125990058,,12/7/17,421.15,,,,,,,,
3/21/23," $1,039,242.01 ",,12/8/17,61102848374,,12/8/17,37650148331,,12/8/17,451.74,,,,,,,,
3/20/23," $1,002,422.70 ",,12/9/17,55563635227,,12/9/17,38152909553,,12/9/17,472.86,,,,,,,,
3/19/23," $789,939.37 ",,12/10/17,43572173439,,12/10/17,41534619670,,12/10/17,436.49,,,,,,,,
3/18/23," $763,852.83 ",,12/11/17,35272081823,,12/11/17,42190609044,,12/11/17,513.29,,,,,,,,
3/17/23," $1,071,397.28 ",,12/12/17,38367405491,,12/12/17,42534383833,,12/12/17,656.52,,,,,,,,
3/16/23," $1,124,162.21 ",,12/13/17,38631503447,,12/13/17,41625003479,,12/13/17,699.09,,,,,,,,
3/15/23," $1,274,352.16 ",,12/14/17,41791954659,,12/14/17,43964305213,,12/14/17,693.58,,,,,,,,
3/14/23," $1,033,050.94 ",,12/15/17,35432934113,,12/15/17,42607604617,,12/15/17,684.27,,,,,,,,
3/13/23," $1,033,911.51 ",,12/16/17,35296363949,,12/16/17,42279195527,,12/16/17,692.83,,,,,,,,
3/12/23," $871,438.55 ",,12/17/17,29121338315,,12/17/17,41694276203,,12/17/17,717.71,,,,,,,,
3/11/23," $931,537.40 ",,12/18/17,27442929390,,12/18/17,43186977264,,12/18/17,785.99,,,,,,,,
3/10/23," $1,208,994.54 ",,12/19/17,34330952644,,12/19/17,43342615632,,12/19/17,812.5,,,,,,,,
3/9/23," $1,380,980.30 ",,12/20/17,41559360197,,12/20/17,41579518582,,12/20/17,799.17,,,,,,,,
3/8/23," $1,407,598.27 ",,12/21/17,41640835518,,12/21/17,42822071285,,12/21/17,789.39,,,,,,,,
3/7/23," $1,136,008.79 ",,12/22/17,40786863196,,12/22/17,42339693488,,12/22/17,657.83,,,,,,,,
3/6/23," $971,911.46 ",,12/23/17,33285710975,,12/23/17,41686739250,,12/23/17,700.44,,,,,,,,
3/5/23," $813,142.84 ",,12/24/17,30228420219,,12/24/17,39798116384,,12/24/17,675.91,,,,,,,,
3/4/23," $696,435.42 ",,12/25/17,26111076108,,12/25/17,36883633123,,12/25/17,723.14,,,,,,,,
3/3/23," $756,189.07 ",,12/26/17,25927218047,,12/26/17,38712289894,,12/26/17,753.4,,,,,,,,
3/2/23," $771,257.81 ",,12/27/17,25108575762,,12/27/17,41512701145,,12/27/17,739.94,,,,,,,,
3/1/23," $714,863.98 ",,12/28/17,24132948080,,12/28/17,41331549758,,12/28/17,716.69,,,,,,,,
2/28/23," $803,052.85 ",,12/29/17,25027593719,,12/29/17,43383854091,,12/29/17,739.6,,,,,,,,
2/27/23," $695,495.11 ",,12/30/17,24163343242,,12/30/17,41534605727,,12/30/17,692.99,,,,,,,,
2/26/23," $741,117.03 ",,12/31/17,24709168252,,12/31/17,40470099836,,12/31/17,741.13,,,,,,,,
2/25/23," $702,787.53 ",,1/1/18,23306357402,,1/1/18,39876127062,,1/1/18,756.2,,,,,,,,
2/24/23," $967,905.93 ",,1/2/18,26315022737,,1/2/18,42671435301,,1/2/18,861.97,,,,,,,,
2/23/23," $1,098,148.35 ",,1/3/18,27919698108,,1/3/18,41794056176,,1/3/18,941.1,,,,,,,,
2/22/23," $1,302,676.85 ",,1/4/18,33357029107,,1/4/18,41332879147,,1/4/18,944.83,,,,,,,,
2/21/23," $3,298,395.63 ",,1/5/18,84460889356,,1/5/18,40379621205,,1/5/18,967.13,,,,,,,,
2/20/23," $3,966,926.03 ",,1/6/18,95788574583,,1/6/18,41149583911,,1/6/18,1006.41,,,,,,,,
2/19/23," $3,523,251.54 ",,1/7/18,74588438927,,1/7/18,42259801663,,1/7/18,1117.75,,,,,,,,
2/18/23," $3,476,803.03 ",,1/8/18,73644673858,,1/8/18,41554528829,,1/8/18,1136.11,,,,,,,,
2/17/23," $4,043,009.98 ",,1/9/18,76790296973,,1/9/18,40838021653,,1/9/18,1289.24,,,,,,,,
2/16/23," $4,912,706.02 ",,1/10/18,95442073535,,1/10/18,41211834716,,1/10/18,1248.99,,,,,,,,
2/15/23," $3,846,677.40 ",,1/11/18,82600430565,,1/11/18,40874997008,,1/11/18,1139.32,,,,,,,,
2/14/23," $3,125,797.30 ",,1/12/18,60014533220,,1/12/18,41302749226,,1/12/18,1261.03,,,,,,,,
2/13/23," $3,653,938.09 ",,1/13/18,63717170951,,1/13/18,41404605848,,1/13/18,1385.02,,,,,,,,
2/12/23," $3,394,393.07 ",,1/14/18,58397110440,,1/14/18,42756086884,,1/14/18,1359.48,,,,,,,,
2/11/23," $2,895,605.57 ",,1/15/18,53860527328,,1/15/18,42043952117,,1/15/18,1278.69,,,,,,,,
2/10/23," $2,438,048.29 ",,1/16/18,54778776336,,1/16/18,42377287097,,1/16/18,1050.26,,,,,,,,
2/9/23," $2,247,252.42 ",,1/17/18,52114059603,,1/17/18,42082782990,,1/17/18,1024.69,,,,,,,,
2/8/23," $2,286,820.42 ",,1/18/18,53748001984,,1/18/18,42002307855,,1/18/18,1012.97,,,,,,,,
2/7/23," $2,157,415.68 ",,1/19/18,51161244711,,1/19/18,40650250975,,1/19/18,1037.36,,,,,,,,
2/6/23," $2,481,518.67 ",,1/20/18,51085545977,,1/20/18,42221424863,,1/20/18,1150.5,,,,,,,,
2/5/23," $1,740,955.89 ",,1/21/18,40356756648,,1/21/18,41120535667,,1/21/18,1049.09,,,,,,,,
2/4/23," $1,432,182.90 ",,1/22/18,33802546511,,1/22/18,42384341493,,1/22/18,999.64,,,,,,,,
2/3/23," $1,645,399.98 ",,1/23/18,39247302060,,1/23/18,42585249220,,1/23/18,984.47,,,,,,,,
2/2/23," $1,643,536.04 ",,1/24/18,37646911483,,1/24/18,41116424115,,1/24/18,1061.78,,,,,,,,
2/1/23," $1,359,161.37 ",,1/25/18,33569002791,,1/25/18,38694327499,,1/25/18,1046.37,,,,,,,,
1/31/23," $1,188,798.67 ",,1/26/18,28114173259,,1/26/18,40325654323,,1/26/18,1048.58,,,,,,,,
1/30/23," $1,127,565.62 ",,1/27/18,27546279427,,1/27/18,36907616933,,1/27/18,1109.08,,,,,,,,
1/29/23," $1,346,399.49 ",,1/28/18,27800189170,,1/28/18,39324531791,,1/28/18,1231.58,,,,,,,,
1/28/23," $1,744,179.68 ",,1/29/18,37028443300,,1/29/18,40261018198,,1/29/18,1169.96,,,,,,,,
1/27/23," $1,307,640.29 ",,1/30/18,30081646328,,1/30/18,40864587588,,1/30/18,1063.75,,,,,,,,
1/26/23," $1,348,417.69 ",,1/31/18,29402730461,,1/31/18,41266872563,,1/31/18,1111.31,,,,,,,,
1/25/23," $1,723,554.05 ",,2/1/18,40436332603,,2/1/18,41536066787,,2/1/18,1026.19,,,,,,,,
1/24/23," $1,326,389.92 ",,2/2/18,35386250064,,2/2/18,40854960763,,2/2/18,917.47,,,,,,,,
1/23/23," $1,128,775.36 ",,2/3/18,29301000333,,2/3/18,39679298889,,2/3/18,970.87,,,,,,,,
1/22/23," $934,531.79 ",,2/4/18,29029951503,,2/4/18,38898471198,,2/4/18,827.59,,,,,,,,
1/21/23," $751,574.25 ",,2/5/18,26867195837,,2/5/18,40245262197,,2/5/18,695.08,,,,,,,,
1/20/23," $864,525.06 ",,2/6/18,27964527864,,2/6/18,39381740316,,2/6/18,785.01,,,,,,,,
1/19/23," $782,169.35 ",,2/7/18,26694182218,,2/7/18,38974098416,,2/7/18,751.81,,,,,,,,
1/18/23," $761,833.91 ",,2/8/18,24968333160,,2/8/18,37504769448,,2/8/18,813.55,,,,,,,,
1/17/23," $777,367.55 ",,2/9/18,22856286885,,2/9/18,38742315523,,2/9/18,877.88,,,,,,,,
1/16/23," $812,020.60 ",,2/10/18,23836230354,,2/10/18,40043083880,,2/10/18,850.75,,,,,,,,
1/15/23," $680,315.72 ",,2/11/18,21902813565,,2/11/18,38287873264,,2/11/18,811.24,,,,,,,,
1/14/23," $698,266.91 ",,2/12/18,20824108310,,2/12/18,38752828307,,2/12/18,865.27,,,,,,,,
1/13/23," $675,189.75 ",,2/13/18,21675219499,,2/13/18,37040485585,,2/13/18,840.98,,,,,,,,
1/12/23," $759,425.51 ",,2/14/18,22501126990,,2/14/18,36680999206,,2/14/18,920.11,,,,,,,,
1/11/23," $765,275.38 ",,2/15/18,21565784189,,2/15/18,38240882715,,2/15/18,927.95,,,,,,,,
1/10/23," $768,241.23 ",,2/16/18,21590561665,,2/16/18,37933382560,,2/16/18,938.02,,,,,,,,
1/9/23," $834,191.64 ",,2/17/18,21836733413,,2/17/18,39190067077,,2/17/18,974.77,,,,,,,,
1/8/23," $832,438.51 ",,2/18/18,23119908681,,2/18/18,39397382859,,2/18/18,913.9,,,,,,,,
1/7/23," $740,931.54 ",,2/19/18,19905796465,,2/19/18,39606612657,,2/19/18,939.79,,,,,,,,
1/6/23," $752,545.24 ",,2/20/18,20246730594,,2/20/18,41973901118,,2/20/18,885.52,,,,,,,,
1/5/23," $664,292.37 ",,2/21/18,19358082715,,2/21/18,40847542931,,2/21/18,840.1,,,,,,,,
1/4/23," $559,454.00 ",,2/22/18,17902757911,,2/22/18,38837227832,,2/22/18,804.63,,,,,,,,
1/3/23," $611,551.97 ",,2/23/18,18833737841,,2/23/18,37991211338,,2/23/18,854.7,,,,,,,,
1/2/23," $617,347.29 ",,2/24/18,19384760070,,2/24/18,38209268440,,2/24/18,833.49,,,,,,,,
1/1/23," $532,413.54 ",,2/25/18,16760068675,,2/25/18,37805002395,,2/25/18,840.28,,,,,,,,
12/31/22," $576,513.81 ",,2/26/18,17771487138,,2/26/18,37390079297,,2/26/18,867.62,,,,,,,,
12/30/22," $585,563.10 ",,2/27/18,17894714377,,2/27/18,37544097966,,2/27/18,871.58,,,,,,,,
12/29/22," $675,749.10 ",,2/28/18,20187807483,,2/28/18,39310780770,,2/28/18,851.5,,,,,,,,
12/28/22," $605,172.50 ",,3/1/18,18473527342,,3/1/18,37659539662,,3/1/18,869.87,,,,,,,,
12/27/22," $699,645.68 ",,3/2/18,20451455718,,3/2/18,39983716238,,3/2/18,855.6,,,,,,,,
12/26/22," $528,847.39 ",,3/3/18,16322757085,,3/3/18,37865237862,,3/3/18,855.65,,,,,,,,
12/25/22," $579,684.66 ",,3/4/18,17306576278,,3/4/18,38730214278,,3/4/18,864.83,,,,,,,,
12/24/22," $647,267.45 ",,3/5/18,19642692604,,3/5/18,38793616163,,3/5/18,849.42,,,,,,,,
12/23/22," $553,222.28 ",,3/6/18,18179260115,,3/6/18,37307686369,,3/6/18,815.69,,,,,,,,
12/22/22," $571,138.07 ",,3/7/18,19767121442,,3/7/18,38466490967,,3/7/18,751.13,,,,,,,,
12/21/22," $480,400.87 ",,3/8/18,18357044883,,3/8/18,37448073374,,3/8/18,698.83,,,,,,,,
12/20/22," $477,677.94 ",,3/9/18,17752199400,,3/9/18,37016588949,,3/9/18,726.92,,,,,,,,
12/19/22," $364,093.16 ",,3/10/18,14790736580,,3/10/18,36078405981,,3/10/18,682.3,,,,,,,,
12/18/22," $347,178.39 ",,3/11/18,13799398206,,3/11/18,34925525031,,3/11/18,720.36,,,,,,,,
12/17/22," $398,222.46 ",,3/12/18,15351654962,,3/12/18,37215624308,,3/12/18,697.02,,,,,,,,
12/16/22," $322,816.11 ",,3/13/18,13206717876,,3/13/18,35427163435,,3/13/18,689.96,,,,,,,,
12/15/22," $309,363.53 ",,3/14/18,14203805847,,3/14/18,35522019946,,3/14/18,613.15,,,,,,,,
12/14/22," $310,004.95 ",,3/15/18,14353164971,,3/15/18,35374686934,,3/15/18,610.56,,,,,,,,
12/13/22," $342,941.02 ",,3/16/18,16340801409,,3/16/18,34947118314,,3/16/18,600.53,,,,,,,,
12/12/22," $211,830.90 ",,3/17/18,12252599210,,3/17/18,31445915711,,3/17/18,549.79,,,,,,,,
12/11/22," $250,468.83 ",,3/18/18,12747853336,,3/18/18,36562436097,,3/18/18,537.38,,,,,,,,
12/10/22," $260,436.70 ",,3/19/18,13093728143,,3/19/18,35802695120,,3/19/18,555.55,,,,,,,,
12/9/22," $260,764.76 ",,3/20/18,13429840214,,3/20/18,34824000498,,3/20/18,557.57,,,,,,,,
12/8/22," $289,314.52 ",,3/21/18,14142299137,,3/21/18,36536924121,,3/21/18,559.91,,,,,,,,
12/7/22," $262,679.14 ",,3/22/18,14406721931,,3/22/18,33771872051,,3/22/18,539.89,,,,,,,,
12/6/22," $293,261.34 ",,3/23/18,15620447607,,3/23/18,34522177147,,3/23/18,543.83,,,,,,,,
12/5/22," $235,697.55 ",,3/24/18,13781856544,,3/24/18,32878378111,,3/24/18,520.16,,,,,,,,
12/4/22," $226,474.72 ",,3/25/18,13537750854,,3/25/18,31986241666,,3/25/18,523.01,,,,,,,,
12/3/22," $282,525.24 ",,3/26/18,18175711428,,3/26/18,31967319199,,3/26/18,486.25,,,,,,,,
12/2/22," $195,964.12 ",,3/27/18,14361185569,,3/27/18,30405543514,,3/27/18,448.78,,,,,,,,
12/1/22," $193,012.26 ",,3/28/18,14632876426,,3/28/18,29579341741,,3/28/18,445.93,,,,,,,,
11/30/22," $183,813.66 ",,3/29/18,15636728747,,3/29/18,30620605384,,3/29/18,383.9,,,,,,,,
11/29/22," $170,136.08 ",,3/30/18,12774734071,,3/30/18,33817911220,,3/30/18,393.82,,,,,,,,
11/28/22," $152,100.28 ",,3/31/18,11477477292,,3/31/18,33628710263,,3/31/18,394.07,,,,,,,,
11/27/22," $137,991.73 ",,4/1/18,11102468465,,4/1/18,32806978500,,4/1/18,378.85,,,,,,,,
11/26/22," $159,884.07 ",,4/2/18,12126196454,,4/2/18,34275278877,,4/2/18,384.68,,,,,,,,
11/25/22," $187,331.68 ",,4/3/18,12293014582,,4/3/18,36638070285,,4/3/18,415.93,,,,,,,,
11/24/22," $158,155.28 ",,4/4/18,10971643800,,4/4/18,38069223989,,4/4/18,378.65,,,,,,,,
